,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
173,173,0.9302445464677597,2020-06-21 19:05:33.871564,2020-06-21 19:26:06.359174,0.11385115678008693,12,94,COMPLETE
174,174,0.9341871153182488,2020-06-21 19:26:06.371455,2020-06-21 20:00:31.379273,0.1938542876320293,20,90,COMPLETE
175,175,0.9350732768919452,2020-06-21 20:00:31.391614,2020-06-21 20:20:52.878746,0.18978169934433092,13,86,COMPLETE
176,176,0.9359978948749209,2020-06-21 20:20:52.891331,2020-06-21 20:44:22.567652,0.19949153406287554,14,92,COMPLETE
177,177,0.9350158219472015,2020-06-21 20:44:22.580100,2020-06-21 21:08:52.697910,0.19773124914939166,14,96,COMPLETE
178,178,0.9345186446566789,2020-06-21 21:08:52.721669,2020-06-21 21:32:22.635788,0.1997853301458669,14,92,COMPLETE
179,179,0.9339792157678659,2020-06-21 21:32:22.650915,2020-06-21 21:54:58.186284,0.17594712737015872,14,88,COMPLETE
180,180,0.9373435830545113,2020-06-21 21:54:58.199079,2020-06-21 22:22:26.105763,0.18349457691621915,15,100,COMPLETE
181,181,0.9345384263263827,2020-06-21 22:22:26.119676,2020-06-21 22:49:37.510270,0.1826717666120599,15,99,COMPLETE
182,182,0.9345014533540773,2020-06-21 22:49:37.523937,2020-06-21 23:16:17.677473,0.18594178167292014,15,97,COMPLETE
183,183,0.932043857625894,2020-06-21 23:16:17.692204,2020-06-21 23:30:14.300219,0.1808810889680393,15,49,COMPLETE
184,184,0.9335970688490208,2020-06-21 23:30:14.313315,2020-06-21 23:59:44.170102,0.18850394634456713,16,100,COMPLETE
185,185,0.9331488976896111,2020-06-21 23:59:44.184203,2020-06-22 00:23:59.977590,0.19267650161326308,14,95,COMPLETE
186,186,0.936909440540194,2020-06-22 00:23:59.990697,2020-06-22 00:57:31.826644,0.1837603641770495,19,93,COMPLETE
187,187,0.9349718911283768,2020-06-22 00:57:31.840097,2020-06-22 01:30:42.885387,0.18423834723000912,19,92,COMPLETE
188,188,0.9356867722075599,2020-06-22 01:30:42.898737,2020-06-22 01:56:44.406278,0.1321699605306579,15,94,COMPLETE
189,189,0.9343238400144097,2020-06-22 01:56:44.549425,2020-06-22 02:19:14.171843,0.18818291736853485,14,88,COMPLETE
190,190,0.9348693381935849,2020-06-22 02:19:14.185340,2020-06-22 02:42:25.441464,0.17967035542588097,15,84,COMPLETE
191,191,0.9347154974961918,2020-06-22 02:42:25.457084,2020-06-22 03:19:46.225278,0.17722795464947744,20,98,COMPLETE
192,192,0.9356543022571359,2020-06-22 03:19:46.238926,2020-06-22 03:50:33.233539,0.1837665187257559,18,91,COMPLETE
193,193,0.9341710158855016,2020-06-22 03:50:33.247068,2020-06-22 04:28:43.115654,0.1745827138048434,20,100,COMPLETE
194,194,0.935917977531728,2020-06-22 04:28:43.129449,2020-06-22 04:59:44.123280,0.190554583340792,19,86,COMPLETE
195,195,0.9364502151397771,2020-06-22 04:59:44.137179,2020-06-22 05:31:00.259042,0.19254223976829735,19,87,COMPLETE
196,196,0.9351768765157695,2020-06-22 05:31:00.272785,2020-06-22 06:00:39.686294,0.1911761307612362,19,82,COMPLETE
197,197,0.9330200645769482,2020-06-22 06:00:39.700159,2020-06-22 06:31:43.685765,0.18632347595261625,19,86,COMPLETE
198,198,0.9358873901155356,2020-06-22 06:31:43.699795,2020-06-22 07:02:00.646644,0.1998838483502053,19,84,COMPLETE
199,199,0.9340264974976226,2020-06-22 07:02:00.671958,2020-06-22 07:32:17.298923,0.19981165835168962,19,84,COMPLETE
